GET_PID_POINT_x;GET_PID_POINT_y;GET_ADC_2_x;GET_ADC_2_y;GET_CURRENT_x;GET_CURRENT_y
126;400;126;375;126;294
127;400;127;370;127;294
128;400;128;380;128;296
129;400;129;372;129;294
130;400;130;374;130;298
131;400;131;372;131;296
132;400;132;383;132;294
133;400;133;381;133;298
134;400;134;384;134;296
135;400;135;373;135;296
136;400;136;378;136;298
137;400;137;381;137;296
138;400;138;383;138;294
139;400;139;381;139;292
140;400;140;390;140;292
141;400;141;385;141;296
142;400;142;378;142;296
143;400;143;389;143;294
144;400;144;394;144;296
145;400;145;385;145;296
146;400;146;391;146;292
147;400;147;388;147;294
148;400;148;390;148;294
149;400;149;393;149;296
150;400;150;393;150;296
151;400;151;390;151;296
152;400;152;395;152;296
153;400;153;390;153;296
154;400;154;396;154;294
155;400;155;392;155;298
156;400;156;396;156;296
157;400;157;400;157;292
158;400;158;395;158;292
159;400;159;392;159;292
160;400;160;399;160;294
161;400;161;396;161;298
162;400;162;396;162;296
163;400;163;393;163;292
164;400;164;400;164;300
165;400;165;403;165;294
166;400;166;398;166;290
167;400;167;402;167;292
168;400;168;402;168;296
169;400;169;397;169;296
170;400;170;403;170;296
171;400;171;401;171;300
172;400;172;407;172;294
173;400;173;401;173;296
174;400;174;418;174;298
175;400;175;401;175;296
176;400;176;406;176;298
177;400;177;406;177;294
178;400;178;402;178;296
179;400;179;403;179;296
180;400;180;401;180;292
181;400;181;413;181;296
182;400;182;403;182;296
183;400;183;404;183;292
184;400;184;411;184;290
185;400;185;406;185;294
186;400;186;405;186;296
187;400;187;412;187;298
188;400;188;407;188;296
189;400;189;403;189;294
190;400;190;407;190;292
191;400;191;406;191;294
192;400;192;408;192;296
193;400;193;410;193;294
194;400;194;405;194;296
195;400;195;417;195;290
196;400;196;411;196;294
197;400;197;426;197;296
198;400;198;404;198;294
199;400;199;414;199;300
200;400;200;414;200;294
201;400;201;418;201;296
202;400;202;422;202;292
203;400;203;417;203;292
204;400;204;411;204;296
205;400;205;409;205;296
206;400;206;415;206;296
207;400;207;413;207;298
208;400;208;411;208;296
209;400;209;410;209;292
210;400;210;414;210;298
211;400;211;414;211;294
212;400;212;416;212;292
213;400;213;415;213;296
214;400;214;415;214;292
215;400;215;423;215;296
216;400;216;416;216;296
217;400;217;415;217;292
218;400;218;415;218;292
219;400;219;418;219;294
220;400;220;413;220;294
221;400;221;414;221;292
222;400;222;422;222;290
223;400;223;425;223;298
224;400;224;417;224;296
225;400;225;421;225;292
226;400;226;423;226;296
227;400;227;419;227;298
228;400;228;418;228;292
229;400;229;419;229;294
230;400;230;425;230;296
231;400;231;424;231;296
232;400;232;425;232;292
233;400;233;424;233;298
234;400;234;418;234;296
235;400;235;422;235;294
236;400;236;425;236;292
237;400;237;425;237;292
238;400;238;416;238;292
239;400;239;422;239;296
240;400;240;420;240;296
241;400;241;423;241;296
242;400;242;442;242;292
243;400;243;424;243;298
244;400;244;423;244;292
245;400;245;426;245;302
246;400;246;434;246;292
247;400;247;422;247;298
248;400;248;425;248;298
249;400;249;422;249;294
250;400;250;420;250;298
251;400;251;424;251;298
252;400;252;421;252;294
253;400;253;420;253;298
254;400;254;421;254;296
255;400;255;438;255;294
256;400;256;421;256;296
257;400;257;423;257;296
258;400;258;433;258;296
259;400;259;427;259;292
260;400;260;427;260;296
261;400;261;421;261;298
262;400;262;428;262;294
263;400;263;424;263;296
264;400;264;428;264;292
265;400;265;427;265;296
266;400;266;427;266;296
267;400;267;426;267;300
268;400;268;427;268;296
269;400;269;411;269;294
270;400;270;429;270;292
271;400;271;425;271;294
272;400;272;429;272;294
273;400;273;433;273;298
274;400;274;435;274;296
275;400;275;423;275;296
276;400;276;431;276;294
277;400;277;430;277;300
278;400;278;414;278;292
279;400;279;429;279;296
280;400;280;427;280;294
281;400;281;430;281;294
282;400;282;431;282;296
283;400;283;428;283;294
284;400;284;426;284;298
285;400;285;428;285;292
286;400;286;432;286;292
287;400;287;429;287;298
288;400;288;431;288;294
289;400;289;429;289;294
290;400;290;431;290;294
291;400;291;427;291;292
292;400;292;432;292;296
293;400;293;433;293;296
294;400;294;428;294;296
295;400;295;428;295;296
296;400;296;433;296;292
297;400;297;433;297;296
298;400;298;445;298;294
299;400;299;429;299;294
